id,bibliographicCitation,occurrenceID,organismQuantity,organismQuantityType,eventDate,locality,minimumDepthInMeters,maximumDepthInMeters,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,footprintWKT,scientificNameID,scientificName,taxonRank
WA_seagrass_Leschenault_2009_sites.96-ruppia,,WA_seagrass_Leschenault_2009_sites.96-ruppia,5,percent coverage,2/04/2009,Leschenault,0,0,-33.25598303,115.70104,200,POINT (115.70104 -33.25598303138199),urn:lsid:marinespecies.org:taxname:234030,Ruppia sp.,genus
WA_seagrass_Leschenault_2009_sites.96-halophila,,WA_seagrass_Leschenault_2009_sites.96-halophila,20,percent coverage,2/04/2009,Leschenault,0,0,-33.25598303,115.70104,200,POINT (115.70104 -33.25598303138199),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.,genus
WA_seagrass_Leschenault_2009_sites.97-halophila,,WA_seagrass_Leschenault_2009_sites.97-halophila,10,percent coverage,2/04/2009,Leschenault,2,2,-33.25951803,115.70365,200,POINT (115.70365000000001 -33.25951803138713),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.,genus
WA_seagrass_Leschenault_2009_sites.98-halophila,,WA_seagrass_Leschenault_2009_sites.98-halophila,10,percent coverage,2/04/2009,Leschenault,0,0,-33.25878803,115.703714,200,POINT (115.703714 -33.258788031386096),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.,genus
WA_seagrass_Leschenault_2009_sites.99-halophila,,WA_seagrass_Leschenault_2009_sites.99-halophila,20,percent coverage,2/04/2009,Leschenault,1,1,-33.26165303,115.700763,200,POINT (115.70076300000002 -33.26165303139026),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.,genus
WA_seagrass_Leschenault_2009_sites.100-halophila,,WA_seagrass_Leschenault_2009_sites.100-halophila,20,percent coverage,2/04/2009,Leschenault,0,0,-33.26171403,115.700558,200,POINT (115.700558 -33.261714031390355),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.,genus
WA_seagrass_Leschenault_2009_sites.101-halophila,,WA_seagrass_Leschenault_2009_sites.101-halophila,20,percent coverage,2/04/2009,Leschenault,1,1,-33.25926103,115.698866,200,POINT (115.69886600000002 -33.25926103138678),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.,genus
WA_seagrass_Leschenault_2009_sites.102-halophila,,WA_seagrass_Leschenault_2009_sites.102-halophila,20,percent coverage,2/04/2009,Leschenault,0,0,-33.25948303,115.698562,200,POINT (115.69856199999998 -33.25948303138711),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.,genus
WA_seagrass_Leschenault_2009_sites.115-halophila,,WA_seagrass_Leschenault_2009_sites.115-halophila,10,percent coverage,30/03/2009,Leschenault,2,2,-33.27681303,115.704135,200,POINT (115.70413500000002 -33.27681303141237),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.,genus
WA_seagrass_Leschenault_2009_sites.116-halophila,,WA_seagrass_Leschenault_2009_sites.116-halophila,10,percent coverage,30/03/2009,Leschenault,0,0,-33.27718903,115.70384,200,POINT (115.70384 -33.27718903141289),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.,genus
WA_seagrass_Leschenault_2009_sites.130-ruppia,,WA_seagrass_Leschenault_2009_sites.130-ruppia,80,percent coverage,30/03/2009,Leschenault,1,1,-33.29279303,115.700548,200,POINT (115.700548 -33.29279303143565),urn:lsid:marinespecies.org:taxname:234030,Ruppia sp.,genus
WA_seagrass_Leschenault_2009_sites.131-ruppia,,WA_seagrass_Leschenault_2009_sites.131-ruppia,80,percent coverage,30/03/2009,Leschenault,1,1,-33.29018403,115.700297,200,POINT (115.70029700000002 -33.29018403143186),urn:lsid:marinespecies.org:taxname:234030,Ruppia sp.,genus
WA_seagrass_Leschenault_2009_sites.131-halophila,,WA_seagrass_Leschenault_2009_sites.131-halophila,10,percent coverage,30/03/2009,Leschenault,1,1,-33.29018403,115.700297,200,POINT (115.70029700000002 -33.29018403143186),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.,genus
WA_seagrass_Leschenault_2009_sites.132-ruppia,,WA_seagrass_Leschenault_2009_sites.132-ruppia,80,percent coverage,30/03/2009,Leschenault,0,0,-33.29033403,115.699994,200,POINT (115.699994 -33.29033403143208),urn:lsid:marinespecies.org:taxname:234030,Ruppia sp.,genus
WA_seagrass_Leschenault_2009_sites.132-halophila,,WA_seagrass_Leschenault_2009_sites.132-halophila,10,percent coverage,30/03/2009,Leschenault,0,0,-33.29033403,115.699994,200,POINT (115.699994 -33.29033403143208),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.,genus
WA_seagrass_Leschenault_2009_sites.133-ruppia,,WA_seagrass_Leschenault_2009_sites.133-ruppia,80,percent coverage,30/03/2009,Leschenault,1,1,-33.29294703,115.702296,200,POINT (115.702296 -33.29294703143585),urn:lsid:marinespecies.org:taxname:234030,Ruppia sp.,genus
WA_seagrass_Leschenault_2009_sites.134-ruppia,,WA_seagrass_Leschenault_2009_sites.134-ruppia,80,percent coverage,30/03/2009,Leschenault,0,0,-33.29319803,115.702164,200,POINT (115.702164 -33.29319803143622),urn:lsid:marinespecies.org:taxname:234030,Ruppia sp.,genus
WA_seagrass_Leschenault_2009_sites.135-halophila,,WA_seagrass_Leschenault_2009_sites.135-halophila,20,percent coverage,30/03/2009,Leschenault,1,1,-33.29546303,115.698822,200,POINT (115.698822 -33.29546303143956),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.,genus
WA_seagrass_Leschenault_2009_sites.136-halophila,,WA_seagrass_Leschenault_2009_sites.136-halophila,20,percent coverage,30/03/2009,Leschenault,0,0,-33.29544203,115.698511,200,POINT (115.698511 -33.29544203143952),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.,genus
